"","Nest_Code","Day_of_trial","Daily_score","Predator","Treatment","Round_of_experiment","Start_date_of_trial","Site","GPS_coordinates","Number_of_trees_within_20m","Distance_to_path","Distance_to_building","Distance_to_edge_of_heath","Heath_degradation_Score","Removed_YN"
"185","18C",3,0,NA,"Experimental","R2","12/08/2019","S4","(50.7563847, -1.9439464)",20,14,180,74,3,"N"
"186","18C",4,2,"Rodent","Experimental","R2","12/08/2019","S4","(50.7563847, -1.9439464)",20,14,180,74,3,"N"
"187","18C",5,2,"Rodent","Experimental","R2","12/08/2019","S4","(50.7563847, -1.9439464)",20,14,180,74,3,"N"
"188","18C",6,0,NA,"Experimental","R2","12/08/2019","S4","(50.7563847, -1.9439464)",20,14,180,74,3,"N"
"189","18C",7,0,NA,"Experimental","R2","12/08/2019","S4","(50.7563847, -1.9439464)",20,14,180,74,3,"N"
"190","18D",1,4,"Rodent","Control","R3","25/08/2019","S2","(50.7650497, -1.9623742)",3,21,825,183,3,"N"
"191","18D",2,0,NA,"Control","R3","25/08/2019","S2","(50.7650497, -1.9623742)",3,21,825,183,3,"N"
"192","18D",3,3,"Rodent","Control","R3","25/08/2019","S2","(50.7650497, -1.9623742)",3,21,825,183,3,"N"
"193","18D",4,0,NA,"Control","R3","25/08/2019","S2","(50.7650497, -1.9623742)",3,21,825,183,3,"N"
"194","18D",5,0,NA,"Control","R3","25/08/2019","S2","(50.7650497, -1.9623742)",3,21,825,183,3,"N"
"195","18D",6,0,NA,"Control","R3","25/08/2019","S2","(50.7650497, -1.9623742)",3,21,825,183,3,"N"
"196","18D",7,0,NA,"Control","R3","25/08/2019","S2","(50.7650497, -1.9623742)",3,21,825,183,3,"N"
"197","19B",1,0,NA,"Experimental","R1","01/08/2019","S2","(50.7641834, -1.9610696)",0,118,890,245,0,"N"
"198","19B",2,3,"Rodent","Experimental","R1","01/08/2019","S2","(50.7641834, -1.9610696)",0,118,890,245,0,"N"
"199","19B",3,4,"Rodent","Experimental","R1","01/08/2019","S2","(50.7641834, -1.9610696)",0,118,890,245,0,"N"
"200","19B",4,0,NA,"Experimental","R1","01/08/2019","S2","(50.7641834, -1.9610696)",0,118,890,245,0,"N"
"201","19B",5,0,NA,"Experimental","R1","01/08/2019","S2","(50.7641834, -1.9610696)",0,118,890,245,0,"N"
"202","19B",6,0,NA,"Experimental","R1","01/08/2019","S2","(50.7641834, -1.9610696)",0,118,890,245,0,"N"
"203","19B",7,0,NA,"Experimental","R1","01/08/2019","S2","(50.7641834, -1.9610696)",0,118,890,245,0,"N"
"204","19C",1,0,NA,"Control","R2","12/08/2019","S4","(50.7566748, -1.9449838)",0,22,240,160,0,"N"
"205","19C",2,0,NA,"Control","R2","12/08/2019","S4","(50.7566748, -1.9449838)",0,22,240,160,0,"N"
"206","19C",3,0,NA,"Control","R2","12/08/2019","S4","(50.7566748, -1.9449838)",0,22,240,160,0,"N"
"207","19C",4,3,"Rodent","Control","R2","12/08/2019","S4","(50.7566748, -1.9449838)",0,22,240,160,0,"N"
"208","19C",5,0,NA,"Control","R2","12/08/2019","S4","(50.7566748, -1.9449838)",0,22,240,160,0,"N"
"209","19C",6,3,"Rodent","Control","R2","12/08/2019","S4","(50.7566748, -1.9449838)",0,22,240,160,0,"N"
"210","19C",7,0,NA,"Control","R2","12/08/2019","S4","(50.7566748, -1.9449838)",0,22,240,160,0,"N"
"211","19D",1,0,NA,"Control","R3","25/08/2019","S2","(50.7656967, -1.9633069)",1,10,735,145,0,"N"
"212","19D",2,2,"Rodent","Control","R3","25/08/2019","S2","(50.7656967, -1.9633069)",1,10,735,145,0,"N"
"213","19D",3,1,"Unidentified","Control","R3","25/08/2019","S2","(50.7656967, -1.9633069)",1,10,735,145,0,"N"
"214","19D",4,0,NA,"Control","R3","25/08/2019","S2","(50.7656967, -1.9633069)",1,10,735,145,0,"N"
"215","19D",5,0,NA,"Control","R3","25/08/2019","S2","(50.7656967, -1.9633069)",1,10,735,145,0,"N"
